Card Number,Card Type,Expiration Date,CVV,Status
3550053110542799,Maestro,09/26,201,1
501852091526,American Express,10/27,405,1
30179930993122,American Express,12/32,359,1
30496245233436,Mastercard,07/26,1441,1
4433240431467753,VISA 16 digit,06/31,854,1
4395733589942516,Diners Club / Carte Blanche,02/31,394,1
4428926128355247,VISA 19 digit,02/29,665,1
4750886579895042,Maestro,02/34,815,1
586828523439,Mastercard,03/33,897,1
4836297100997174,Mastercard,11/32,632,1
2418435055758379,Discover,06/25,578,1
38157268457821,Maestro,03/28,764,1
213169257500005,VISA 16 digit,08/31,666,1
4597720286004761,American Express,08/26,893,1
213102618569781,JCB 15 digit,02/27,726,1
3538439535203744,VISA 19 digit,12/24,3239,1
180068389265652,JCB 16 digit,02/28,645,1
3504291130531049,Maestro,09/33,289,1
4473720123649173,Discover,03/30,174,1
3532246631044906,JCB 16 digit,09/24,072,1
2267678488406106,Diners Club / Carte Blanche,01/29,0679,1
4470109736315,JCB 15 digit,02/33,548,1
6536585238008809,VISA 13 digit,11/32,173,1
4456611054176214,Maestro,06/32,859,1
4731070180473028,Mastercard,01/30,087,1
30401527221471,VISA 19 digit,09/27,495,1
501834987387,VISA 19 digit,04/34,458,1
4804325251875218,Maestro,01/25,341,1
30191217269738,JCB 16 digit,01/25,619,1
4855067252643397,JCB 16 digit,06/30,507,1
6011863418773086,VISA 16 digit,03/32,738,1
3559410844791236,JCB 16 digit,01/33,656,1
4171604932499068,VISA 16 digit,06/31,221,1
566579519158,VISA 16 digit,06/25,452,1
4070581808008196570,Maestro,04/28,700,1
6011850292896554,Mastercard,12/25,813,1
6011074510640070,Mastercard,08/24,631,1
2705872966175792,VISA 16 digit,05/31,771,1
4216613633691599,JCB 15 digit,06/27,5306,1
6011225582192313,Diners Club / Carte Blanche,08/28,0146,1
4756268761144540447,JCB 16 digit,10/24,1542,1
6011185273382245,Mastercard,12/31,865,1
340330783046444,VISA 19 digit,01/30,123,1
4454529376761,VISA 13 digit,04/32,282,1
340379922462012,JCB 15 digit,07/25,743,1
3531712625960531,VISA 16 digit,07/25,603,1
4079836432435,Mastercard,08/24,106,1
4911052448575853,VISA 19 digit,11/27,023,1
6011234125357607,VISA 16 digit,04/32,546,1
501824302464,JCB 15 digit,08/32,252,1
4680045253586089,Discover,12/25,450,1
5407479516865734,American Express,04/31,327,1
3566067472961878,JCB 15 digit,10/32,401,1
4444141102356,JCB 16 digit,09/29,356,1
30084173209832,VISA 19 digit,12/25,183,1
4439602362044,Diners Club / Carte Blanche,10/24,365,1
4300000174021096,Discover,07/33,1987,1
4213240181276,JCB 16 digit,01/28,663,1
4804950731062812,VISA 16 digit,03/34,249,1
4706883400250302,VISA 13 digit,01/33,386,1
4084731712568,VISA 19 digit,07/31,104,1
378096672073055,VISA 16 digit,01/26,662,1
4207598584249043900,JCB 16 digit,05/34,540,1
4533735367098323,Discover,10/31,863,1
344916107690697,Diners Club / Carte Blanche,09/33,549,1
4891659345628889637,American Express,11/24,842,1
4011714368181462,Mastercard,03/27,067,1
4423907136299502605,VISA 16 digit,11/25,684,1
4897223881870754057,Mastercard,06/30,548,1
4979030737700928,JCB 16 digit,08/27,365,1
4523454772970067155,VISA 19 digit,07/25,027,1
6011516537068610,JCB 15 digit,09/33,736,1
4350900046715537,JCB 16 digit,09/26,786,1
2249042956629868,VISA 16 digit,01/28,939,1
38419371548874,JCB 16 digit,10/27,6059,1
377456153819015,Maestro,06/33,187,1
2256187742229893,JCB 16 digit,08/31,189,1
180040379959354,VISA 19 digit,05/27,292,1
373032237700044,Mastercard,11/27,270,1
2288350545587402,VISA 16 digit,01/32,015,1
4258253573513,VISA 16 digit,08/30,759,1
3536194117990901,JCB 15 digit,02/31,115,1
30533062525054,Diners Club / Carte Blanche,07/25,033,1
30012460076192,VISA 16 digit,06/27,190,1
340503981241252,Maestro,07/33,937,1
347766069053708,JCB 16 digit,03/33,676,1
2332873730252207,Diners Club / Carte Blanche,03/26,101,1
2294121888119943,Maestro,04/29,713,1
370903110241913,Mastercard,10/31,213,1
36127409830139,JCB 16 digit,02/33,143,1
4776791873881625,VISA 16 digit,01/32,695,1
342300260278495,JCB 16 digit,05/28,614,1
4394584980232,JCB 16 digit,02/33,014,1
378277295544371,VISA 13 digit,05/25,492,1
4245872752951920,Mastercard,07/28,934,1
4341964672970,JCB 16 digit,07/25,441,1
3588183936394145,JCB 16 digit,05/28,463,1
30231763287153,JCB 16 digit,06/29,246,1
4397192916368446960,JCB 16 digit,12/30,650,1
639078792012,VISA 13 digit,02/30,679,1
4673175064033249470,American Express,05/32,893,1
502008261179,VISA 16 digit,12/31,615,1
3597430400214187,VISA 19 digit,09/27,619,1
180001377838214,VISA 13 digit,04/30,489,1
348085968062358,JCB 16 digit,06/33,433,1
4369071791316704,VISA 19 digit,12/26,033,1
4439990658224774,VISA 19 digit,03/26,817,1
582275137336,American Express,07/34,3911,1
30347204147499,VISA 19 digit,12/27,017,1
675961495305,JCB 15 digit,05/34,231,1
3545105580850470,VISA 13 digit,01/27,732,1
4301107702530,Mastercard,08/29,543,1
6579819023235261,Discover,11/31,717,1
562022478720,Diners Club / Carte Blanche,04/33,596,1
6011179054993296,VISA 13 digit,11/31,7677,1
639019624571,JCB 15 digit,01/31,317,1
180053696810689,VISA 19 digit,02/26,841,1
347398843450271,VISA 19 digit,08/24,079,1
372302791053168,Maestro,09/27,929,1
371020781694988,Diners Club / Carte Blanche,07/26,317,1
3542413883955324,JCB 16 digit,07/26,193,1
4416816757953,VISA 13 digit,11/33,139,1
6508446406538289,JCB 16 digit,04/34,0208,1
630440486458,Diners Club / Carte Blanche,12/25,232,1
2222511083376776,Discover,02/26,723,1
583817344224,Diners Club / Carte Blanche,12/29,375,1
371075998085024,VISA 16 digit,08/32,931,1
375835562519260,JCB 15 digit,05/26,760,1
4459358333232718012,Diners Club / Carte Blanche,06/32,846,1
3535154360087046,American Express,04/26,153,1
2242100106086699,Diners Club / Carte Blanche,04/28,537,1
6011905937086100,Mastercard,05/26,736,1
4697146824072888800,JCB 15 digit,09/33,804,1
213192503939025,VISA 19 digit,11/27,5335,1
4540399129685124,Diners Club / Carte Blanche,09/25,558,1
4073886193286,VISA 16 digit,04/33,610,1
4952138878069903,American Express,06/33,582,1
4751166335140481,JCB 16 digit,11/24,0475,1
3521460203858899,Discover,10/26,421,1
4245586562735311,VISA 16 digit,05/30,823,1
4374685217533916,VISA 19 digit,12/29,484,1
6011790789302635,American Express,11/27,2836,1
4410316655717136,Mastercard,09/30,4297,1
3508219768900091,JCB 16 digit,05/32,764,1
3558095793890203,Diners Club / Carte Blanche,08/31,142,1
6011555287339615,JCB 16 digit,11/30,050,1
4212447626288574,VISA 19 digit,08/33,083,1
6556551367412738,VISA 16 digit,08/33,284,1
572417278049,JCB 16 digit,12/31,303,1
373236966944471,JCB 16 digit,11/27,4821,1
2283953465901407,Mastercard,07/25,838,1
4151881282527724152,Maestro,05/29,589,1
6534717913350154,JCB 16 digit,04/26,621,1
568237127705,Maestro,03/28,154,1
676163951236,JCB 15 digit,01/33,098,1
4595930532812121,VISA 16 digit,08/33,7410,1
567570923266,Diners Club / Carte Blanche,03/33,187,1
4574882933652566972,Diners Club / Carte Blanche,06/33,6555,1
4987815166909,VISA 19 digit,08/34,2952,1
180094558637943,VISA 13 digit,04/31,251,1
3527024028101010,VISA 19 digit,03/25,848,1
6582431455993048,JCB 16 digit,05/29,8493,1
588202532143,Mastercard,09/29,076,1
4788025853555365906,Diners Club / Carte Blanche,07/27,750,1
4432190074810216156,JCB 16 digit,12/24,559,1
4903935984142825,VISA 16 digit,08/34,102,1
30509741055671,Mastercard,05/30,703,1
5232178574240431,JCB 16 digit,01/32,234,1
30316079951301,JCB 16 digit,04/29,3650,1
3574393126560332,VISA 16 digit,04/32,902,1
372580728862039,American Express,12/28,581,1
3577565436605264,Discover,08/29,794,1
30587288965775,VISA 19 digit,01/27,159,1
4797427023267010,American Express,04/26,7104,1
3596844031380053,VISA 16 digit,12/29,182,1
5248746136791158,JCB 15 digit,11/31,957,1
180074051549068,VISA 16 digit,11/24,552,1
3526166935668283,JCB 16 digit,03/28,798,1
4353532523119664,Mastercard,01/28,279,1
3512431996933729,JCB 16 digit,04/34,565,1
4858501858832159,Maestro,06/29,722,1
4315707682307998,VISA 19 digit,12/31,788,1
2296326447652841,Mastercard,09/27,317,1
572897346837,JCB 16 digit,04/31,184,1
3544534739614019,VISA 16 digit,02/29,5418,1
4214555782225398093,Discover,04/33,055,1
4794855891411301122,Diners Club / Carte Blanche,02/32,619,1
4710329538193,American Express,06/26,8633,1
4646392691459559,VISA 19 digit,08/33,606,1
3514995294444512,Maestro,04/33,092,1
4908146345970,VISA 16 digit,05/30,373,1
4837788726168835,Maestro,02/26,200,1
4224739253477751,Discover,12/24,331,1
501840497652,Mastercard,12/25,293,1
4274362733485358647,VISA 13 digit,03/29,654,1
4658594426160124988,VISA 16 digit,08/32,0499,1
3513212838942477,VISA 16 digit,12/25,785,1
4757516806990,American Express,06/29,616,1
4014798888580904,JCB 15 digit,07/34,5068,1
2255471423716100,Mastercard,01/32,319,1
180005076235051,Discover,02/26,177,1
4430532052557,JCB 15 digit,10/32,521,1
36564777668867,American Express,10/28,779,1
4406718969809010,JCB 16 digit,09/28,508,1
3589101895237195,VISA 16 digit,02/25,493,1
4853835754894,Mastercard,07/33,767,1
4548019649403,VISA 19 digit,04/29,891,1
4232719842085,VISA 16 digit,08/30,431,1
676321348069,VISA 16 digit,06/32,377,1
4073681250651347,Maestro,11/27,298,1
675940574535,American Express,09/24,111,1
3590808754639017,Mastercard,12/29,806,1
3591453318948981,JCB 15 digit,09/26,971,1
6011985578564722,VISA 16 digit,11/31,590,1
6011895865188988,JCB 16 digit,08/25,539,1
213108757240829,JCB 15 digit,07/27,2662,1
213101128792214,VISA 16 digit,04/26,357,1
4184050696969406,Diners Club / Carte Blanche,06/32,790,1
4579300273819,JCB 16 digit,05/30,573,1
2357631949549551,Diners Club / Carte Blanche,03/27,029,1
2286080559246189,Mastercard,12/29,836,1
4256483222617608,VISA 13 digit,03/33,284,1
6576457207100572,VISA 16 digit,11/32,585,1
3585093348082340,American Express,05/31,914,1
630470807227,VISA 19 digit,02/34,023,1
3546698867500825,Discover,09/27,535,1
4691238816963,VISA 16 digit,08/33,888,1
180020352847222,JCB 16 digit,08/29,005,1
4760613540512930917,JCB 16 digit,11/28,086,1
4776466246769463206,Mastercard,03/28,666,1
4483940247124857,JCB 16 digit,12/27,168,1
2416177314602954,Diners Club / Carte Blanche,04/29,060,1
346426275784155,Diners Club / Carte Blanche,08/25,0657,1
4151807795550464736,JCB 15 digit,08/33,465,1
4016143893173205,VISA 19 digit,03/32,919,1
180002728594654,VISA 16 digit,08/33,591,1
4570458933811517,JCB 16 digit,02/30,345,1
4630382262922778984,VISA 16 digit,07/30,378,1
501827756278,VISA 16 digit,07/29,2753,1
38313242789561,Mastercard,05/31,922,1
582385598849,VISA 16 digit,03/26,590,1
4561177404321,JCB 16 digit,02/34,358,1
4841861129437406,VISA 13 digit,04/30,644,1
2237600742000522,JCB 15 digit,04/34,132,1
4710706450599969,JCB 16 digit,11/33,412,1
3568543313721141,Discover,12/28,647,1
4501175699880094637,JCB 16 digit,01/31,809,1
213125075327336,JCB 16 digit,06/30,596,1
4140166725219730621,VISA 16 digit,09/25,481,1
676355445153,Diners Club / Carte Blanche,08/29,5758,1
4198431448651,VISA 16 digit,07/33,110,1
3558020702663699,JCB 16 digit,01/27,448,1
341594194190500,Discover,02/31,617,1
4341089555444424,Maestro,06/34,039,1
5461407256215920,JCB 16 digit,01/33,176,1
676193362230,JCB 16 digit,12/31,652,1
676365711404,JCB 16 digit,07/32,456,1
2231743978784249,Diners Club / Carte Blanche,08/27,659,1
3558377412261895,JCB 16 digit,12/30,615,1
4919466323807094,Discover,06/25,449,1
4219279988580,VISA 16 digit,08/31,024,1
213140380390721,Maestro,04/27,2989,1
3566433155202644,Mastercard,12/28,230,1
3564318393593551,Mastercard,01/34,535,1
3558411201524963,Maestro,06/27,620,1
213134180539892,Mastercard,11/24,322,1
4994205782367481,JCB 16 digit,09/33,768,1
5231502376735937,JCB 16 digit,05/34,113,1
676149222553,Maestro,12/31,582,1
4307801789976132328,Diners Club / Carte Blanche,06/26,724,1
3569063737319231,VISA 16 digit,12/29,941,1
30373985070593,VISA 13 digit,11/27,956,1
4438155171547,Mastercard,11/33,165,1
180037601168168,Diners Club / Carte Blanche,12/25,175,1
3585301178978101,Mastercard,08/34,096,1
4650577228151351598,American Express,02/30,963,1
6011672240468348,VISA 16 digit,12/31,0510,1
3592518443415137,JCB 16 digit,05/32,801,1
4854708340939468022,Maestro,02/31,841,1
4777439207654,Discover,05/27,723,1
2685322082863628,JCB 16 digit,01/25,491,1
213111784576249,VISA 19 digit,02/34,012,1
180034794185109,VISA 19 digit,01/27,903,1
4150341004038378435,VISA 19 digit,08/31,8730,1
6011537065746195,Discover,10/33,187,1
5169199256176120,Diners Club / Carte Blanche,11/29,682,1
6508308825167555,Maestro,07/29,2508,1
2276207538234232,Mastercard,12/30,684,1
6577250494580427,Discover,01/27,721,1
38244120902911,VISA 13 digit,04/33,344,1
213121576603861,Mastercard,04/27,5327,1
4374397567289731,JCB 16 digit,06/32,610,1
2292929956732567,Mastercard,09/28,363,1
503882841383,Mastercard,06/27,845,1
4450205297138939507,Diners Club / Carte Blanche,01/33,2509,1
180048535244637,VISA 16 digit,04/28,725,1
3528234980059481,Mastercard,08/28,839,1
2277806329446142,Maestro,10/32,523,1
3566639017640694,Diners Club / Carte Blanche,12/29,4192,1
2720736770247215,VISA 16 digit,03/29,533,1
2451631094899095,Discover,01/32,953,1
2245836746396629,Discover,06/30,6629,1
503810589120,VISA 19 digit,07/32,683,1
4365597541765737,Discover,08/27,550,1
2319742487790627,JCB 16 digit,10/28,0221,1
574555408388,Maestro,06/26,085,1
4235909871087,Maestro,05/29,1140,1
4821388837279064,VISA 16 digit,06/34,753,1
341035461576781,Mastercard,04/28,951,1
5255844443241247,VISA 13 digit,04/25,8652,1
4311738995775,Mastercard,09/25,963,1
3559222589858231,JCB 15 digit,02/27,536,1
4404593739776118,VISA 13 digit,07/31,526,1
38588752345520,Diners Club / Carte Blanche,06/28,347,1
502000554068,Maestro,08/25,553,1
180076830341857,Diners Club / Carte Blanche,01/29,185,1
502042638523,JCB 15 digit,04/31,858,1
6524076294473180,VISA 16 digit,07/26,932,1
377318702602815,Discover,09/25,341,1
676332833539,JCB 15 digit,09/30,001,1
4464343938792384,JCB 15 digit,03/25,631,1
4993468353660574,JCB 16 digit,09/24,259,1
3581798035385442,JCB 15 digit,11/33,826,1
3555538947424976,JCB 16 digit,09/27,004,1
3577968375361651,VISA 13 digit,03/33,059,1
3517857055869575,Diners Club / Carte Blanche,10/31,024,1
3554441902104603,VISA 19 digit,09/29,066,1
4562293711235,JCB 15 digit,12/24,054,1
30594213228691,VISA 16 digit,02/33,927,1
675911934924,VISA 16 digit,02/27,800,1
4029244487499306,VISA 19 digit,11/26,231,1
4718894223489,Mastercard,01/31,520,1
4273864994255,VISA 13 digit,09/28,2726,1
38007178278124,JCB 16 digit,07/27,9345,1
379482178384643,VISA 16 digit,02/32,872,1
2295268991793731,VISA 16 digit,02/27,622,1
6506004998804106,JCB 16 digit,05/26,859,1
4189481719085000,VISA 16 digit,11/27,593,1
180026889397250,Diners Club / Carte Blanche,10/31,846,1
180092129157102,JCB 16 digit,04/26,021,1
30540788411089,VISA 13 digit,08/28,177,1
180052023841086,Maestro,12/24,195,1
2548537878082466,VISA 16 digit,08/28,333,1
3549424712329253,Mastercard,08/24,801,1
5135326647051586,VISA 16 digit,08/30,034,1
180057556161877,Mastercard,10/24,148,1
38412869357726,VISA 16 digit,10/31,016,1
4098241441569170,Discover,04/33,122,1
4647493645075,JCB 15 digit,11/31,402,1
36163064685773,JCB 16 digit,11/24,079,1
6549218010167800,VISA 16 digit,06/33,241,1
4966095169593,American Express,08/26,9724,1
4825932274133,Mastercard,11/25,358,1
30093795091007,JCB 16 digit,12/27,897,1
4873293849376235059,American Express,02/31,590,1
6518928013316611,Maestro,07/32,932,1
6011956563720173,American Express,10/25,361,1
4642206330302181811,JCB 16 digit,06/25,384,1
3584405629930123,Diners Club / Carte Blanche,10/24,541,1
36811003958467,Diners Club / Carte Blanche,11/27,096,1
4069723922608374,VISA 16 digit,04/33,429,1
4621850818872,VISA 19 digit,11/26,677,1
4630076180037704219,VISA 16 digit,04/27,174,1
3557097029523419,VISA 16 digit,09/33,908,1
4872847799325,JCB 16 digit,09/32,685,1
3585026943241564,JCB 15 digit,06/32,757,1
30305384936057,VISA 13 digit,07/32,134,1
4985631777172548,Diners Club / Carte Blanche,06/34,015,1
3562988690357157,American Express,09/29,383,1
4929384696004304793,American Express,01/25,533,1
30189243406035,JCB 16 digit,07/31,970,1
3592671761497532,Maestro,05/32,060,1
4798627986190690,JCB 16 digit,11/24,539,1
2720795516293123,VISA 19 digit,12/30,716,1
3567532376636602,VISA 19 digit,10/30,810,1
4613954153109078,Diners Club / Carte Blanche,12/29,839,1
3544351579825823,VISA 13 digit,03/32,832,1
348012931390120,Maestro,09/27,587,1
3556225791180966,Diners Club / Carte Blanche,05/33,730,1
3541796304452512,Diners Club / Carte Blanche,03/34,231,1
4806192982684469,JCB 15 digit,10/27,4361,1
180019818017768,VISA 16 digit,09/28,627,1
4847229056594553,Discover,03/25,3062,1
4895739324933368,Mastercard,12/27,2352,1
3568057064391798,VISA 19 digit,05/31,5870,1
3522420314867899,VISA 19 digit,04/29,300,1
373999769594732,Diners Club / Carte Blanche,09/30,339,1
36433349347881,VISA 13 digit,12/30,220,1
4701019084028679381,Diners Club / Carte Blanche,06/34,998,1
3535576991906030,Mastercard,05/25,067,1
3507738103743958,Diners Club / Carte Blanche,12/32,178,1
3518612012045028,JCB 16 digit,05/32,378,1
4689702518479,Diners Club / Carte Blanche,03/34,233,1
3576712711144871,Mastercard,06/28,754,1
6011539056083166,Diners Club / Carte Blanche,11/32,585,1
30520616369204,JCB 16 digit,11/30,049,1
4516484521718523,VISA 16 digit,08/30,247,1
4323044368152492,VISA 13 digit,12/28,821,1
3568352103067446,VISA 16 digit,08/27,453,1
4162675121300094,JCB 16 digit,08/26,462,1
4853653603691524,Discover,05/29,063,1
3502198590402250,JCB 16 digit,05/27,3766,1
30401002620361,JCB 16 digit,12/29,143,1
4612642054058995167,JCB 16 digit,06/30,441,1
2295996796555877,VISA 16 digit,09/33,534,1
6011951435113616,VISA 16 digit,10/26,672,1
30420294642511,VISA 13 digit,01/27,911,1
4475214402760,VISA 16 digit,09/24,886,1
376119085935223,Diners Club / Carte Blanche,03/25,557,1
3556027015346252,Mastercard,11/29,866,1
4021750824298035,Diners Club / Carte Blanche,03/27,277,1
2257593289566226,Discover,03/29,881,1
3573152751399429,VISA 19 digit,08/29,147,1
4609938735649350,Maestro,09/33,381,1
501877384583,JCB 15 digit,04/28,202,1
4258670327635224,JCB 16 digit,09/27,532,1
4314257734597072,American Express,04/26,752,1
576739726924,Mastercard,09/28,674,1
4409330944959,American Express,03/27,8863,1
5287637034479750,JCB 16 digit,05/25,439,1
2716650787401945,Diners Club / Carte Blanche,07/30,1556,1
4189963138612,VISA 19 digit,03/29,496,1
3545008872848469,American Express,01/27,686,1
2700162852203980,Mastercard,11/31,072,1
676212368341,Maestro,10/25,705,1
6011171766782067,American Express,02/29,747,1
4620743570580115,VISA 19 digit,11/30,737,1
180071337891967,American Express,10/32,165,1
676242225347,JCB 16 digit,08/34,478,1
180018331015010,VISA 19 digit,03/34,4398,1
375700761249483,VISA 19 digit,01/31,401,1
4664372178000875,Discover,06/34,5444,1
4321861122169344,Mastercard,04/30,844,1
347769824702585,VISA 16 digit,03/29,414,1
4967130854703467,JCB 16 digit,12/30,6208,1
4740667491036,American Express,01/34,328,1
4170032037558227,Discover,08/33,5324,1
4719967238431466430,VISA 19 digit,04/32,243,1
2572454947942473,JCB 16 digit,09/33,877,1
379421935575218,JCB 15 digit,03/26,289,1
213181206715816,VISA 13 digit,07/33,759,1
372874261113383,VISA 13 digit,08/24,557,1
346163005827315,Mastercard,12/31,192,1
4365157366170877954,JCB 16 digit,12/27,440,1
30459216800922,VISA 19 digit,01/28,305,1
6011722404578141,JCB 15 digit,05/34,990,1
30277385483530,VISA 19 digit,05/32,4317,1
5131165865763777,Diners Club / Carte Blanche,12/28,740,1
4886607586650502,JCB 15 digit,08/27,8163,1
36993069646150,JCB 16 digit,06/25,972,1
4484360220347863,Mastercard,11/28,061,1
4889150158903774,Diners Club / Carte Blanche,12/25,579,1
3557231598129080,VISA 13 digit,08/32,144,1
502093305675,JCB 15 digit,11/24,3958,1
4431721038266153,VISA 13 digit,11/28,326,1
30192735018896,JCB 15 digit,12/32,193,1
180024828861346,Diners Club / Carte Blanche,09/32,954,1
345585006235760,Discover,06/28,747,1
2232904621959526,Mastercard,07/31,613,1
374282394748976,Maestro,01/25,1674,1
4515841220396581,Discover,05/34,715,1
2720554284438075,Maestro,09/29,1138,1
4816316919693560,VISA 19 digit,12/24,661,1
4082448066629762555,JCB 15 digit,04/27,774,1
2400596672146932,Discover,06/27,682,1
30293337859123,JCB 16 digit,02/31,084,1
4617729604889884660,Diners Club / Carte Blanche,09/24,244,1
38983727850169,JCB 15 digit,07/27,242,1
3588790021611595,VISA 13 digit,12/29,609,1
3560452877834779,VISA 16 digit,08/32,6652,1
5296335656532241,Mastercard,08/31,3165,1
